name;map_url;is_free;price;duration_num;duration_unit
Pista Poliesportiva Palaudalba;https://www.google.com/maps/place/Pista+Poliesportiva+Palaudalba/@41.5916407,2.2028175,18z/data=!4m6!3m5!1s0x12a4c1a7209af46b:0x3d626171a2fade4a!8m2!3d41.59134!4d2.203093!16s%2Fg%2F11ght1mrqg?entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D;1;0;1;hora
Campo municipal Las Fontetes;https://www.google.com/maps/place/Campo+municipal+Las+Fontetes/@41.4878373,2.1428668,16z/data=!4m6!3m5!1s0x12a4961de51bdd89:0x4f15f068ccbd00f0!8m2!3d41.4862271!4d2.1444076!16s%2Fg%2F11bztgcng_?entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D;1;0;1;hora
Club Deportivo OAR Gracia Sabadell;https://www.google.com/maps/place/Club+Deportivo+OAR+Gracia+Sabadell/@41.5338249,2.0958554,17z/data=!3m1!4b1!4m6!3m5!1s0x12a494f9923d0fbd:0xe82bcfc7de06e6e5!8m2!3d41.5338249!4d2.0984303!16s%2Fg%2F11b6gld93z?authuser=0&entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D;1;0;1;hora
